Tempo;acao.AcaoArrumar;acao.AcaoDesarrumar;acao.AcaoLimpar;acao.AcaoSujar;
0;15.0;60.0;15.0;10.0
156641;23,0172;54,1379;14,3966;8,4483;
157250;27,0259;51,2069;14,0948;7,6724;
241282;27,0259;51,2069;14,0948;7,6724;
241891;27,0259;51,2069;14,0948;7,6724;
242907;27,0259;51,2069;14,0948;7,6724;
243516;27,0259;51,2069;14,0948;7,6724;
244938;27,0259;51,2069;14,0948;7,6724;
246657;27,0259;51,2069;14,0948;7,6724;
247266;27,0259;51,2069;14,0948;7,6724;
247875;27,0259;51,2069;14,0948;7,6724;
248485;27,0259;51,2069;14,0948;7,6724;
249907;27,0259;51,2069;14,0948;7,6724;
250719;27,0259;51,2069;14,0948;7,6724;
252141;27,0259;51,2069;14,0948;7,6724;
408657;27,0259;51,2069;14,0948;7,6724;
410078;27,0259;51,2069;14,0948;7,6724;
411485;27,0259;51,2069;14,0948;7,6724;
412094;27,0259;51,2069;14,0948;7,6724;
413516;27,0259;51,2069;14,0948;7,6724;
414922;27,0259;51,2069;14,0948;7,6724;
415532;27,0259;51,2069;14,0948;7,6724;
416953;27,0259;51,2069;14,0948;7,6724;
535328;27,0259;51,2069;14,0948;7,6724;
535938;27,0259;51,2069;14,0948;7,6724;
537360;27,0259;51,2069;14,0948;7,6724;
726360;27,0259;51,2069;14,0948;7,6724;
728578;27,0259;51,2069;14,0948;7,6724;
729188;27,0259;51,2069;14,0948;7,6724;
730610;27,0259;51,2069;14,0948;7,6724;
735625;27,0259;51,2069;14,0948;7,6724;
736625;27,0259;51,2069;14,0948;7,6724;
737235;27,0259;51,2069;14,0948;7,6724;
738657;27,0259;51,2069;14,0948;7,6724;
740063;27,0259;51,2069;14,0948;7,6724;
741485;27,0259;51,2069;14,0948;7,6724;
742485;27,0259;51,2069;14,0948;7,6724;
